regime,sigma_s,metric,J,n_seeds,gini,mean_E,mean_C,mean_R,R_vs_C_pct,R_vs_C_ci_lo,R_vs_C_ci_hi,R_vs_C_p,R_vs_C_sig,C_vs_E_pct,C_vs_E_ci_lo,C_vs_E_ci_hi,C_vs_E_p,C_vs_E_sig,rep_sep
anti_correlated,0.0,Brier,5000,20,0.0,0.08798423869642738,0.08798423869642738,0.08786607214434589,0.13442104925722723,0.12858603316027065,0.1403678170283639,2.2408713604319488e-20,***,7.678469569860342e-16,-2.481263958408744e-15,4.784804829366847e-15,0.6802922551903734,n.s.,1.1067742396096212
anti_correlated,0.0,LogLoss,5000,20,0.0,0.31904534198654405,0.319045341986544,0.3185936182852721,0.14166422158644304,0.13661691996249634,0.14671733894432396,4.083857824644559e-22,***,8.768863358706945e-16,0.0,2.6306590076120835e-15,0.32987680092112526,n.s.,1.1067742396096212
uncorrelated,0.0,Brier,5000,20,0.0,0.08798423869642738,0.08798423869642738,0.08786607214434589,0.13442104925722723,0.12858603316027065,0.1403678170283639,2.2408713604319488e-20,***,7.678469569860342e-16,-2.481263958408744e-15,4.784804829366847e-15,0.6802922551903734,n.s.,1.1067742396096212
uncorrelated,0.0,LogLoss,5000,20,0.0,0.31904534198654405,0.319045341986544,0.3185936182852721,0.14166422158644304,0.13661691996249634,0.14671733894432396,4.083857824644559e-22,***,8.768863358706945e-16,0.0,2.6306590076120835e-15,0.32987680092112526,n.s.,1.1067742396096212
anti_correlated,0.25,Brier,5000,20,0.12819811356876154,0.08798423869642738,0.08807464390276626,0.08795929878453171,0.13109466302195502,0.12364471727745487,0.1384678493020049,2.198874279408067e-18,***,-0.10323662458229035,-0.19416774924097754,-0.014926525209808058,0.04189202986276989,*,1.1067742396096212
anti_correlated,0.25,LogLoss,5000,20,0.12819811356876154,0.31904534198654405,0.3193675367097938,0.31892966913016374,0.13720170664950818,0.12997442791839797,0.14432854533903297,5.759835001625396e-19,***,-0.10105580703966718,-0.1928431830302142,-0.01319314187321748,0.04664118079628856,*,1.1067742396096212
uncorrelated,0.25,Brier,5000,20,0.12819811356876154,0.08798423869642738,0.0880102504152846,0.08789050460918478,0.13613291670175193,0.12946586232136917,0.14286347598389607,1.2809886985407358e-19,***,-0.029953896568953635,-0.09044990028759255,0.033289567777449965,0.3618083606352238,n.s.,1.1067742396096212
uncorrelated,0.25,LogLoss,5000,20,0.12819811356876154,0.31904534198654405,0.3191318837109865,0.31867567109664197,0.14300723808781396,0.13725463268807261,0.14872593279070118,2.741544758168593e-21,***,-0.027373052987799924,-0.08624268911889046,0.03407040787883739,0.3936607287156738,n.s.,1.1067742396096212
anti_correlated,0.5,Brier,5000,20,0.2519472423318132,0.08798423869642738,0.08823003797175794,0.08811569234194343,0.129754382128496,0.11995373988192833,0.1393599058169507,4.3660058710515616e-16,***,-0.2806593496547165,-0.45414547659437055,-0.10733608223832468,0.006365644595889418,**,1.1067742396096212
anti_correlated,0.5,LogLoss,5000,20,0.2519472423318132,0.31904534198654405,0.3198289063456128,0.31940146298015043,0.13377867028898174,0.12340068439560159,0.14395230840399836,6.684701237850832e-16,***,-0.24595803561625487,-0.4162962459049889,-0.07688551851875057,0.013338970190700553,*,1.1067742396096212
uncorrelated,0.5,Brier,5000,20,0.2519472423318132,0.08798423869642738,0.08811028046758126,0.08798736760521567,0.1395320856724221,0.13094503258574108,0.14788001913614934,4.880154155744897e-18,***,-0.144071552835279,-0.2738903754999978,-0.009567622870353419,0.049720144183380346,*,1.1067742396096212
uncorrelated,0.5,LogLoss,5000,20,0.2519472423318132,0.31904534198654405,0.3194016245331741,0.31893907065256266,0.14485394138204516,0.1371467341443556,0.1522791561058454,3.2663009426303355e-19,***,-0.11216378941786229,-0.23622072295075217,0.017163775366551302,0.10693979840640952,n.s.,1.1067742396096212
anti_correlated,0.75,Brier,5000,20,0.36647939299178156,0.08798423869642738,0.0884920426547941,0.08837602036725442,0.13129076745134055,0.11842832322272556,0.1437886710861853,4.594587515217981e-14,***,-0.5795204902432659,-0.8494779366942546,-0.3031433388635795,0.0006960395821618855,***,1.1067742396096212
anti_correlated,0.75,LogLoss,5000,20,0.36647939299178156,0.31904534198654405,0.32053250459240956,0.32011081329255364,0.1317357492208388,0.11792730345806261,0.14503897317424733,1.2970777017990999e-13,***,-0.46696395659008383,-0.7192768394603808,-0.21287665218267066,0.002515885620601903,**,1.1067742396096212
uncorrelated,0.75,Brier,5000,20,0.36647939299178156,0.08798423869642738,0.08831529732245452,0.0881872628228764,0.14497592543805168,0.13365786660320128,0.15564989563693696,2.9885573242466824e-16,***,-0.3775146490575946,-0.6101952505716417,-0.1438040728940248,0.006158926858596113,**,1.1067742396096212
uncorrelated,0.75,LogLoss,5000,20,0.36647939299178156,0.31904534198654405,0.31991942634603915,0.31944842957906083,0.14725732670263503,0.13666989014637718,0.15721950008772273,6.76841613310402e-17,***,-0.2746922363235805,-0.48398757410161924,-0.060409287317037326,0.023311581579164783,*,1.1067742396096212
anti_correlated,1.0,Brier,5000,20,0.4681187744051809,0.08798423869642738,0.08892051040665341,0.08879913783710709,0.13666240708960048,0.1194112093251826,0.15389357786014388,5.309652862157555e-12,***,-1.067829854490525,-1.5086599001715872,-0.627102734195083,0.00018717430978665086,***,1.1067742396096212
anti_correlated,1.0,LogLoss,5000,20,0.4681187744051809,0.31904534198654405,0.32161364186682884,0.32119161340696706,0.13144961266915642,0.11416619868352147,0.14824147739088864,8.74469445706855e-12,***,-0.806467254781343,-1.1698151712777645,-0.4328996714005103,0.0005489445040526987,***,1.1067742396096212
uncorrelated,1.0,Brier,5000,20,0.4681187744051809,0.08798423869642738,0.0886762712319954,0.08854059807619434,0.1529846325417092,0.1379422811309302,0.1671041260143855,1.8484004859384545e-14,***,-0.7881485496814438,-1.2276772524558157,-0.38750859297918827,0.0021528903883295787,**,1.1067742396096212
uncorrelated,1.0,LogLoss,5000,20,0.4681187744051809,0.31904534198654405,0.32078939769014275,0.32030714908655966,0.15039929206700697,0.1361898826783881,0.16362868435647165,1.0103276628637334e-14,***,-0.547570406310295,-0.8903614214130594,-0.21029575400839873,0.006826018224975339,**,1.1067742396096212
anti_correlated,1.25,Brier,5000,20,0.5549694702028944,0.08798423869642738,0.08956916498676341,0.08943876369213782,0.14554962143774763,0.12211699262551225,0.1711158563575821,7.060929076663606e-10,***,-1.8065923262318342,-2.5808130283258626,-1.087955748959195,0.00021939715006954007,***,1.1067742396096212
anti_correlated,1.25,LogLoss,5000,20,0.5549694702028944,0.31904534198654405,0.3231894150629303,0.32276054748200567,0.13295065487973529,0.11136621833187967,0.15390436758579293,3.393940629624064e-10,***,-1.3011488937127913,-1.8691176416621194,-0.7395353545133783,0.00031366881869633405,***,1.1067742396096212
uncorrelated,1.25,Brier,5000,20,0.5549694702028944,0.08798423869642738,0.08924123210364773,0.08909540774265223,0.16340266684815666,0.14350052557179893,0.18271466938279352,1.3037687429615845e-12,***,-1.4304200340717736,-2.2580535682639313,-0.7482238412140869,0.0020456270962886814,**,1.1067742396096212
uncorrelated,1.25,LogLoss,5000,20,0.5549694702028944,0.31904534198654405,0.32211069637403633,0.3216141965067667,0.1543021477140404,0.13582333650319567,0.17181298631006967,8.875749805938593e-13,***,-0.9618378517754105,-1.538353030684368,-0.4384959970850907,0.0037990158101419698,**,1.1067742396096212
anti_correlated,1.5,Brier,5000,20,0.6269515089557178,0.08798423869642738,0.09044356824651227,0.09030279791642434,0.1551181449338259,0.12460864209055464,0.18912387502001934,2.1655197090036304e-08,***,-2.801956679981321,-4.093689040713095,-1.6642383116620858,0.00038299347438116546,***,1.1067742396096212
anti_correlated,1.5,LogLoss,5000,20,0.6269515089557178,0.31904534198654405,0.3252853950856172,0.3248457902661703,0.13534830083548902,0.10912142459815773,0.16134996565830326,7.20364919430821e-09,***,-1.9589518790451579,-2.8478781328225127,-1.1389884351307908,0.00037587969135062044,***,1.1067742396096212
uncorrelated,1.5,Brier,5000,20,0.6269515089557178,0.08798423869642738,0.0900160327145867,0.0898585969112281,0.17501053083174187,0.14860719253760002,0.2020087071041099,9.729945803515494e-11,***,-2.3107556044793176,-3.6863339399860586,-1.2256421478098187,0.002365049525163915,**,1.1067742396096212
uncorrelated,1.5,LogLoss,5000,20,0.6269515089557178,0.31904534198654405,0.3239115964383641,0.3233988848780782,0.1586398739988577,0.13528204765002308,0.18132046159948262,4.740885140984549e-11,***,-1.5262868013553255,-2.4399009247720205,-0.7420563035687546,0.003168986412777095,**,1.1067742396096212
anti_correlated,1.75,Brier,5000,20,0.6853334198083139,0.08798423869642738,0.09148597405381628,0.09133695478905687,0.1619348615274437,0.12609878527940988,0.20098025614693904,1.0272771722657566e-07,***,-3.988140719352183,-5.90830142334523,-2.3679417377512673,0.0005085148349869299,***,1.1067742396096212
anti_correlated,1.75,LogLoss,5000,20,0.6853334198083139,0.31904534198654405,0.3278064159752937,0.32735715703580376,0.13717962818040758,0.10635353837682968,0.16763141340284465,6.516594260568068e-08,***,-2.749947717266106,-4.043057113443519,-1.5939879927751905,0.0004902903733841852,***,1.1067742396096212
uncorrelated,1.75,Brier,5000,20,0.6853334198083139,0.08798423869642738,0.09094983956618323,0.09078083043062016,0.1862980481527103,0.15185247556987355,0.22322052346250085,5.128025954955971e-09,***,-3.371255362136771,-5.373802871091116,-1.7857357526380904,0.0023159072733356426,**,1.1067742396096212
uncorrelated,1.75,LogLoss,5000,20,0.6853334198083139,0.31904534198654405,0.3261185884775842,0.3255895356032237,0.16289329981585793,0.13390356850733007,0.19186966427055932,1.5492654158892652e-09,***,-2.217813476391139,-3.548861458726268,-1.1132141806642208,0.0028600836691115294,**,1.1067742396096212
anti_correlated,2.0,Brier,5000,20,0.7320971353537229,0.08798423869642738,0.09260853028508034,0.09245524958288748,0.1647028944454159,0.12524081432236797,0.2048251313306521,1.9517917177524766e-07,***,-5.265416748737296,-7.79428967355622,-3.1266918889988933,0.0004949620301455777,***,1.1067742396096212
anti_correlated,2.0,LogLoss,5000,20,0.7320971353537229,0.31904534198654405,0.3305838258528294,0.3301300710560965,0.1374405954337701,0.10300954733373828,0.17093536387524452,2.8443311202042924e-07,***,-3.621232732896307,-5.353433678637235,-2.1054279064886257,0.0005428680548140465,***,1.1067742396096212
uncorrelated,2.0,Brier,5000,20,0.7320971353537229,0.08798423869642738,0.09196471308190309,0.09178531938983213,0.19619012309838388,0.15263041098610902,0.24445713835404292,1.3037667404393164e-07,***,-4.523537764176867,-7.124030802803603,-2.4354247825459834,0.0018864318346068461,**,1.1067742396096212
uncorrelated,2.0,LogLoss,5000,20,0.7320971353537229,0.31904534198654405,0.32859110596565,0.3280472785984051,0.1666082656807765,0.1313564937150439,0.20257974486690875,2.9348987979588514e-08,***,-2.9923674036990167,-4.74954591703352,-1.5339042432532004,0.00245081288412741,**,1.1067742396096212
